Age,Gender,Occupation,Employment Type,Education,Annual Income,Monthly Income,Monthly Expenses,Credit Score,Loan Amount,Existing Loans,Debt Ratio,Years of Employment,Marital Status,Residence Type,Dependents,Bank Balance,Savings,Investment,Loan History,Credit History,Approval Status
60,Male,Self-Employed,Full-time,Master,90183,7515.25,3098.69,735,63120,0,0.4123,10.0,Divorced,Owned,3,7808.0,5967,10865,None,Good,Approved
44,Male,Nurse,Full-time,Bachelor,77833,6486.08,3490.95,750,44830,0,0.5382,13.6,Married,Rented,0,1155.0,720,19908,Good,Good,Approved
23,Male,Self-Employed,Full-time,Bachelor,73610,6134.17,1754.29,523,16562,4,0.5263,1.0,Single,Rented,0,20943.0,11796,2806,Good,Bad,Rejected
42,Female,Sales Executive,Full-time,Bachelor,64256,5354.67,2524.05,351,21975,3,0.628,9.7,Married,Owned,2,702.0,466,4601,Bad,None,Rejected
73,Other,Manager,Full-time,High School,70131,5844.25,1686.11,496,23274,0,0.2885,33.4,Married,Rented,2,19702.0,6677,11006,Bad,Bad,Rejected
22,Female,Student,Part-time,High School,12346,1028.83,870.77,529,2000,1,1.1804,0.0,Single,Rented,0,868.0,490,1378,Bad,None,Rejected
44,Male,Nurse,Self-employed,Bachelor,74566,6213.83,2927.5,850,32452,1,0.5037,3.8,Married,Owned,0,14165.0,7967,15318,Good,Good,Approved
64,Female,Software Engineer,Full-time,Master,90091,7507.58,1885.26,784,11673,0,0.2511,28.0,Married,Rented,1,5908.0,3080,6421,Good,None,Approved
50,Female,Sales Executive,Part-time,High School,28439,2369.92,777.76,845,8959,0,0.3282,11.8,Married,Owned,1,12305.0,3771,3317,Good,Good,Approved
58,Male,,Full-time,Master,99841,8320.08,3423.38,684,66163,0,0.4115,32.7,Single,Rented,0,23414.0,17089,17064,Good,None,Approved
22,Male,Nurse,Full-time,Bachelor,80008,6667.33,2732.69,656,60873,1,0.4349,0.3,Single,Mortgaged,0,3217.0,1402,3092,Good,None,Approved
41,Female,Student,Full-time,Bachelor,12751,1062.58,824.52,775,3435,0,0.776,10.0,Married,Rented,4,484.0,0,1009,Good,Good,Approved
53,Male,Self-Employed,Self-employed,Bachelor,60150,5012.5,2065.95,608,6917,3,0.5737,22.4,Married,Owned,0,7665.0,3551,11148,Good,Good,Approved
32,Female,Student,Full-time,Master,10469,872.42,651.45,680,3995,0,0.7467,7.3,Married,Owned,1,939.0,730,37,None,Good,Approved
42,Male,Accountant,Full-time,Bachelor,61925,5160.42,2182.7,358,10359,0,0.423,9.8,Married,Rented,0,1223.0,673,7138,Good,Bad,Rejected
64,Male,Sales Executive,Full-time,Bachelor,76832,6402.67,2917.32,706,44092,0,0.4556,26.6,Married,Owned,0,15554.0,7420,6621,Bad,Good,Approved
45,Male,Software Engineer,Full-time,Bachelor,90118,7509.83,2148.71,644,40241,2,0.3563,19.9,Married,Rented,0,11076.0,4750,5472,Bad,None,Approved
69,Male,Retired,Unemployed,High School,32400,2700.0,774.46,594,12285,1,0.3554,0.0,Divorced,Owned,3,5245.0,3325,6698,Bad,Bad,Rejected
47,Female,Software Engineer,Full-time,High School,71362,5946.83,2495.24,566,18603,1,0.4754,1.2,Married,Mortgaged,2,2372.0,751,10627,Bad,Bad,Rejected
62,Male,Sales Executive,Self-employed,Bachelor,81710,6809.17,2254.03,642,55557,0,0.331,7.5,Married,Mortgaged,0,7288.0,4033,8186,Good,Good,Approved
48,Female,Self-Employed,Full-time,Bachelor,66952,5579.33,2051.63,603,18336,0,0.3677,2.1,Married,Mortgaged,2,4680.0,2440,5469,Bad,Good,Approved
36,Female,Self-Employed,Contract,Bachelor,64516,5376.33,1990.45,763,8923,0,0.3702,7.4,Married,Owned,0,27648.0,18608,3498,Good,Good,Approved
35,Female,Self-Employed,Full-time,Bachelor,75702,6308.5,1915.05,300,18744,0,0.3036,11.0,Married,Rented,1,19701.0,6732,2168,Bad,None,Rejected
67,Male,Retired,Unemployed,Bachelor,24071,2005.92,502.27,643,7754,1,0.432,0.0,Married,Owned,0,6732.0,4284,1013,Good,Good,Approved
71,Female,Retired,Unemployed,Bachelor,26135,2177.92,1101.91,750,15647,0,0.5059,0.0,Divorced,Mortgaged,2,5155.0,1567,5764,Good,Good,Approved
64,Female,Nurse,Full-time,Bachelor,48619,4051.58,1881.96,637,7614,0,0.4645,10.8,Married,Owned,0,5789.0,2990,4919,Good,Good,Approved
75,Male,Retired,Unemployed,Master,22731,1894.25,865.98,555,17648,0,0.4572,0.0,Widowed,Mortgaged,1,2157.0,826,3749,Bad,Bad,Rejected
72,Male,Retired,Unemployed,Bachelor,36078,3006.5,1244.55,546,4163,0,0.414,0.0,Divorced,Rented,2,3088.0,1019,4151,None,Bad,Rejected
23,Female,Sales Executive,Full-time,Bachelor,71750,5979.17,2752.16,701,25108,2,0.5174,0.7,Single,Mortgaged,0,23255.0,12713,2928,None,Bad,Approved
57,Female,Manager,Full-time,High School,47663,3971.92,2107.92,665,20812,2,0.7233,34.6,Divorced,Rented,0,1442.0,1129,921,Good,None,Approved
71,Male,Retired,Unemployed,Bachelor,33018,2751.5,1237.36,790,23874,2,0.6397,0.0,Married,Rented,0,12153.0,8784,8222,Good,Good,Approved
27,Female,Teacher,Full-time,Bachelor,58138,4844.83,1596.5,728,35218,1,0.3953,2.5,Widowed,Mortgaged,1,617.0,361,7008,Good,Good,Approved
41,Female,Manager,Part-time,Bachelor,98652,8221.0,3462.42,783,19866,0,0.4212,18.7,Married,Owned,0,20916.0,16731,19371,None,Good,Approved
29,Female,Accountant,Full-time,Bachelor,71103,5925.25,2267.58,423,14470,1,0.4135,1.3,Single,With Parents,1,12849.0,6052,3399,None,None,Rejected
59,Female,Software Engineer,Full-time,Master,149969,12497.42,5210.5,426,35995,0,0.4169,6.9,Married,Mortgaged,3,35216.0,11499,17119,Bad,Bad,Rejected
38,Female,Teacher,Full-time,High School,32176,2681.33,1086.7,505,9515,2,0.6522,1.2,Married,With Parents,0,8791.0,4716,1021,Bad,Bad,Rejected
24,Male,Nurse,Full-time,Bachelor,57782,4815.17,2444.34,517,14453,2,0.6571,1.4,Single,Owned,0,4396.0,3309,10477,Bad,Bad,Rejected
45,Male,Nurse,Full-time,Bachelor,38781,3231.75,1439.87,332,8146,1,0.5302,7.0,Married,Owned,1,3582.0,2065,2599,None,Bad,Rejected
34,Male,Manager,Full-time,High School,58904,4908.67,1505.13,647,37456,0,0.3066,9.3,Married,Rented,2,9123.0,6547,9566,Bad,None,Approved
70,Female,Retired,Unemployed,High School,31046,2587.17,695.7,451,5660,5,0.8828,0.0,Married,Mortgaged,3,2130.0,1313,822,None,Bad,Rejected
29,Female,Teacher,Part-time,Bachelor,73404,6117.0,2308.0,334,29032,2,0.457,6.9,Married,Owned,0,4767.0,3315,1489,Bad,Bad,Rejected
46,Male,Sales Executive,Full-time,High School,41575,3464.58,882.37,731,31740,1,0.327,21.4,Single,Owned,0,7597.0,4895,1526,Good,Good,Approved
73,Female,Retired,Unemployed,High School,29217,2434.75,841.18,690,17388,0,0.3455,0.0,Married,Owned,2,2768.0,1257,4909,Good,None,Approved
22,Female,Teacher,Self-employed,High School,37650,3137.5,1130.78,695,27026,0,0.3604,0.5,Single,Mortgaged,2,9195.0,2791,4895,Good,None,Approved
40,Female,Nurse,Full-time,Bachelor,65664,5472.0,1984.57,590,24638,0,0.3627,8.4,Single,Mortgaged,1,7574.0,4634,3277,None,None,Approved
48,Male,Nurse,Self-employed,Bachelor,71897,5991.42,3258.16,728,36453,0,0.5438,7.2,Married,Owned,0,453.0,0,16481,Good,Good,Approved
67,Female,Retired,Unemployed,Bachelor,24076,2006.33,684.5,306,3501,1,0.5127,0.0,Single,Owned,0,1172.0,600,1128,None,Bad,Rejected
27,Male,Self-Employed,Full-time,PhD,90703,7558.58,2491.07,300,32650,2,0.4137,1.8,Divorced,Rented,0,11421.0,3573,7405,None,None,Rejected
64,Male,Student,Part-time,Bachelor,10508,875.67,724.84,770,4515,0,0.8278,20.8,Married,Owned,3,934.0,579,2294,Good,Good,Approved
28,Male,Manager,Full-time,Bachelor,92883,7740.25,2291.91,615,44147,1,0.3194,1.0,Single,Rented,0,5067.0,3556,14178,Good,None,Approved
67,Male,Self-Employed,Full-time,Master,72444,6037.0,2625.42,619,51087,0,0.4349,2.7,Married,Rented,1,3353.0,1660,11004,Good,Good,Approved
55,Male,Sales Executive,Full-time,Bachelor,58825,4902.08,1453.7,508,19356,0,0.2965,3.3,Married,Rented,1,4426.0,2929,3383,Bad,Bad,Rejected
34,Female,Teacher,Full-time,Bachelor,59137,4928.08,2084.59,402,9616,3,0.5948,8.7,Married,Mortgaged,0,1401.0,1001,2121,Bad,Bad,Rejected
37,Male,Nurse,Full-time,Bachelor,72622,6051.83,3013.09,667,11706,1,0.5406,8.8,Single,Rented,0,8113.0,5065,7859,Good,Good,Approved
56,Female,Self-Employed,Part-time,High School,38465,3205.42,842.25,562,8210,1,0.3467,21.4,Married,Owned,1,5605.0,3336,6287,None,Bad,Rejected
70,Male,Retired,Unemployed,Bachelor,28296,2358.0,886.43,592,9546,0,0.3759,0.0,Married,Mortgaged,0,5022.0,1511,5347,Bad,Bad,Rejected
60,Female,Student,Full-time,Bachelor,12811,1067.58,958.44,541,2009,0,0.8978,6.1,Married,Owned,0,5969.0,2071,1191,None,Bad,Rejected
24,Female,Student,Part-time,Bachelor,12847,1070.58,901.3,756,2000,0,0.8419,0.0,Single,Mortgaged,0,563.0,262,914,Good,Good,Approved
22,Male,Software Engineer,Full-time,High School,61454,5121.17,2495.86,737,24731,0,0.4874,0.2,Single,Owned,2,6448.0,3287,5287,Good,Good,Approved
26,Male,Nurse,Full-time,Master,82676,6889.67,2879.38,462,7196,0,0.4179,3.1,Single,Mortgaged,3,2126.0,1414,9714,Bad,None,Rejected
74,Male,Retired,Unemployed,Bachelor,34454,2871.17,1026.41,441,4386,2,0.5046,,Married,Owned,1,2845.0,1861,2496,Bad,Bad,Rejected
62,Female,Teacher,Contract,Bachelor,40731,3394.25,935.97,447,13262,0,0.2758,8.7,Divorced,Owned,2,1286.0,459,148,None,Bad,Rejected
24,Female,Student,Part-time,Master,10665,888.75,815.68,704,4761,0,0.9178,0.0,Single,Rented,1,,458,1853,Bad,None,Rejected
74,Male,Sales Executive,Contract,Bachelor,63013,5251.08,2840.94,300,11375,1,0.6116,29.9,Married,With Parents,1,7748.0,3354,6278,None,None,Rejected
49,Female,Sales Executive,Self-employed,PhD,124659,10388.25,5484.79,658,28647,3,0.62,2.1,Divorced,With Parents,4,11532.0,8009,14248,Bad,Good,Approved
38,Male,Sales Executive,Full-time,Bachelor,76071,6339.25,3101.32,734,53736,4,0.7296,11.3,Married,Owned,0,7789.0,2641,6114,None,Good,Approved
46,Male,Manager,Full-time,High School,76710,6392.5,2832.14,695,56196,2,0.5403,,Married,Owned,0,13357.0,7394,16584,None,None,Approved
64,Female,Manager,Full-time,Bachelor,88761,7396.75,3583.27,650,41102,0,0.4844,27.1,Married,Rented,3,968.0,365,15134,None,Good,Approved
54,Male,Accountant,Full-time,Bachelor,64758,5396.5,2048.65,559,48237,0,0.3796,28.7,Married,Owned,2,6079.0,3439,12358,None,Bad,Rejected
30,Female,Student,Full-time,Bachelor,12652,1054.33,829.94,672,5381,2,1.2911,6.4,Married,Mortgaged,0,1870.0,1180,2691,None,None,Rejected
56,Male,Student,Full-time,PhD,11043,920.25,818.26,784,2000,2,1.5023,17.7,Married,Rented,4,1107.0,786,1154,Good,Good,Approved
34,Other,Accountant,Full-time,Bachelor,53453,4454.42,1720.21,407,2991,1,0.4378,9.8,Single,Mortgaged,0,14152.0,10577,4588,Bad,Bad,Rejected
51,Male,Software Engineer,Full-time,Bachelor,93628,7802.33,2447.19,570,17776,0,0.3136,21.9,Married,Rented,0,10446.0,7224,5028,Bad,Bad,Rejected
68,Male,Retired,Unemployed,Master,31130,2594.17,805.7,659,16681,0,0.3106,0.0,Divorced,Rented,1,615.0,275,2775,Bad,Good,Approved
35,Female,Accountant,Full-time,Bachelor,62631,5219.25,2650.08,631,20332,2,0.6402,,Single,Mortgaged,0,1324.0,580,3348,Good,Bad,Rejected
28,Male,Sales Executive,Full-time,Bachelor,69030,5752.5,2607.77,747,38229,0,0.4533,5.1,Married,Owned,1,4312.0,1833,17125,Good,Good,Approved
34,Other,Student,Full-time,Master,8636,719.67,575.9,632,3934,1,1.34,10.4,Married,Owned,0,1069.0,389,538,None,Bad,Rejected
43,Female,Self-Employed,Self-employed,High School,35096,2924.67,1109.17,804,11690,4,0.9213,5.5,Married,Mortgaged,0,7598.0,6034,5013,Good,Good,Approved
60,Female,Student,Full-time,Bachelor,11273,939.42,764.43,824,2852,1,1.1046,25.3,Married,Owned,1,4944.0,3745,3086,Good,Good,Approved
41,Female,Self-Employed,Full-time,Master,72785,6065.42,2963.79,655,11407,0,0.4886,2.9,Married,Owned,1,18571.0,8960,16475,Good,None,Approved
36,Female,Accountant,Full-time,Bachelor,71407,5950.58,2180.27,841,46248,0,0.3664,12.2,Married,Mortgaged,0,5030.0,1782,16496,None,Good,Approved
65,Female,Nurse,Full-time,Bachelor,82995,6916.25,2524.95,591,55880,0,0.3651,21.2,Divorced,Rented,3,6310.0,3708,11039,Bad,Bad,Rejected
38,Female,Manager,Full-time,Bachelor,103364,8613.67,2194.03,770,49512,1,0.2728,5.9,Married,Rented,1,16502.0,10003,4488,Good,Good,Approved
67,Female,Retired,Unemployed,Bachelor,32425,2702.08,1046.65,695,6808,1,0.5144,0.0,Married,Rented,0,3108.0,1746,3921,None,Good,Approved
73,Male,Retired,Unemployed,Master,30992,2582.67,665.3,478,4408,0,0.2576,0.0,Married,Owned,0,1990.0,888,3986,Bad,None,Rejected
44,Male,Software Engineer,Self-employed,High School,71302,5941.83,2502.13,579,54802,0,0.4211,4.0,Single,With Parents,2,15934.0,8371,12405,None,None,Rejected
46,Female,Nurse,Full-time,High School,25552,2129.33,856.07,751,6596,0,0.402,6.9,Divorced,Owned,1,2001.0,1528,3672,Good,Good,Approved
45,Male,Sales Executive,Full-time,High School,34328,2860.67,1436.06,668,4797,4,0.8188,2.9,Married,Rented,0,4212.0,2789,2593,Good,Good,Approved
65,Female,Self-Employed,Full-time,Bachelor,69959,5829.92,2475.0,534,16966,2,0.5158,12.7,Divorced,Mortgaged,0,6072.0,3869,4989,Bad,None,Rejected
61,Male,Software Engineer,Full-time,Bachelor,102572,8547.67,2966.28,414,14531,0,0.347,33.2,Married,Rented,0,4166.0,3304,9213,Good,Bad,Rejected
49,Male,Sales Executive,Full-time,Master,107168,8930.67,3615.75,625,82541,3,0.4972,8.7,Widowed,Mortgaged,0,39089.0,18748,16559,Bad,Bad,Rejected
35,Female,Sales Executive,Full-time,Bachelor,54934,4577.83,2105.4,550,27595,1,0.5062,10.2,Single,Mortgaged,1,1082.0,541,6813,Bad,Good,Rejected
65,Female,Self-Employed,Full-time,Bachelor,70920,5910.0,1644.1,723,55038,2,0.3522,34.4,Single,Rented,3,,15864,1927,None,Good,Approved
21,Male,Nurse,Full-time,High School,29408,2450.67,1069.28,626,19112,1,0.5814,0.1,Single,Owned,0,8441.0,3904,365,None,Good,Approved
45,Female,Accountant,Full-time,Bachelor,62935,5244.58,2753.34,392,19074,2,0.6763,15.7,Divorced,Rented,2,2535.0,1278,6454,Good,Bad,Rejected
27,Female,Nurse,Full-time,Bachelor,64395,5366.25,1823.12,637,43869,0,0.3397,4.9,Married,Mortgaged,3,1498.0,874,89,Good,Good,Approved
29,Male,Accountant,Full-time,High School,39528,3294.0,1442.73,366,10344,1,0.5079,,Single,Rented,3,2186.0,1638,110,Bad,Bad,Rejected
44,Female,Nurse,Self-employed,High School,38911,3242.58,1609.61,376,2097,2,0.7325,9.5,Divorced,Rented,3,14321.0,7720,749,None,None,Rejected
21,Male,Accountant,Full-time,High School,35631,2969.25,1198.22,711,13351,0,0.4035,0.0,Married,Rented,2,6601.0,5085,5118,None,Bad,Rejected
64,Male,Accountant,Full-time,High School,23701,1975.08,919.19,728,6003,0,0.4654,17.2,Divorced,Owned,1,1005.0,576,379,Good,Good,Approved
28,Other,Software Engineer,Full-time,Bachelor,101338,8444.83,2899.14,789,40942,0,0.3433,3.5,Single,Owned,0,8399.0,5282,10861,Good,Good,Approved
44,Male,Sales Executive,Full-time,High School,33594,2799.5,956.92,371,7212,0,0.3418,15.9,Married,With Parents,1,40038.0,16523,669,Bad,Bad,Rejected
31,Female,Sales Executive,Full-time,Bachelor,78570,6547.5,2948.18,669,14887,0,0.4503,4.0,Married,Rented,2,12267.0,7290,80,Good,None,Approved
71,Female,Retired,Unemployed,Master,32844,2737.0,1263.46,616,3823,1,0.5772,0.0,Married,Owned,0,2373.0,1082,4623,None,Good,Approved
37,Male,Accountant,Full-time,Bachelor,55854,4654.5,2472.02,824,10988,0,0.5311,2.5,Single,Mortgaged,0,3184.0,2054,11337,Good,Good,Approved
28,Female,Nurse,Contract,PhD,125042,10420.17,3307.9,638,87554,0,0.3175,5.8,Single,Rented,0,2869.0,1108,14088,Good,Good,Approved
55,Female,Accountant,Full-time,Bachelor,70868,5905.67,2305.96,300,22291,3,0.5723,10.4,Widowed,Mortgaged,2,7144.0,4907,634,Bad,Bad,Rejected
55,Male,Student,Full-time,Bachelor,12952,1079.33,777.14,415,4269,1,0.9228,9.2,Married,Owned,2,3497.0,1951,878,Bad,None,Rejected
53,Female,,Full-time,PhD,121892,10157.67,3768.18,714,35764,0,0.371,3.3,Married,Mortgaged,1,82680.0,49172,10057,Good,None,Approved
25,Female,Nurse,Self-employed,High School,38308,3192.33,1156.34,591,10161,0,0.3622,1.4,Single,Rented,0,13515.0,7395,7296,None,None,Approved
62,Female,Software Engineer,Full-time,Master,147026,12252.17,4057.06,432,9274,1,0.353,8.5,Married,Rented,1,27501.0,17566,16276,None,Bad,Rejected
59,Female,Software Engineer,Part-time,High School,59624,4968.67,1684.87,527,12836,2,0.4208,0.8,Married,Owned,0,9996.0,3884,4016,Bad,Bad,Rejected
61,Male,Sales Executive,Full-time,Bachelor,56168,4680.67,1676.26,486,10326,0,0.3581,6.6,Married,Owned,1,16658.0,10948,5457,Bad,Bad,Rejected
48,Female,Accountant,Part-time,High School,39109,3259.08,1781.58,629,26794,3,0.7367,8.3,Married,Owned,0,755.0,318,6340,Good,Good,Approved
27,Female,Self-Employed,Self-employed,Bachelor,46637,3886.42,1884.48,731,26923,2,0.6246,4.2,Married,Mortgaged,4,1805.0,1088,7558,Good,Good,Approved
29,Female,Sales Executive,Part-time,Bachelor,71376,5948.0,1614.41,811,14346,2,0.3495,5.0,Married,Owned,1,15828.0,8602,19354,None,Good,Approved
28,Female,Self-Employed,Full-time,Bachelor,69650,5804.17,2970.13,721,55093,0,0.5117,1.1,Married,Rented,1,8022.0,3247,11837,Good,Good,Approved
32,Female,Teacher,Full-time,Bachelor,42131,3510.92,1544.77,730,26940,0,0.44,9.2,Married,Owned,2,5423.0,2334,10004,Good,Good,Approved
54,Female,Software Engineer,Full-time,Bachelor,85932,7161.0,3703.51,721,51917,0,0.5172,14.1,Married,Owned,1,34877.0,18175,1044,None,Good,Approved
53,Female,Student,Full-time,High School,14836,1236.33,1009.01,700,3733,0,0.8161,15.0,Married,Owned,0,1213.0,556,3038,Bad,Bad,Rejected
68,Female,Retired,Unemployed,Bachelor,21879,1823.25,946.03,480,8025,0,0.5189,0.0,Married,Mortgaged,1,209.0,0,2389,Bad,None,Rejected
75,Female,Retired,Unemployed,Master,28892,2407.67,798.8,808,12473,0,0.3318,0.0,Married,Mortgaged,3,5284.0,3199,6677,Good,None,Approved
43,Female,Self-Employed,Full-time,Bachelor,55202,4600.17,2413.48,717,17022,1,0.5629,11.7,Single,With Parents,0,13618.0,4321,425,Bad,Good,Approved
44,Female,Sales Executive,Full-time,Master,80429,6702.42,3341.49,417,22455,0,0.4985,1.6,Divorced,Mortgaged,1,22638.0,11676,2092,Bad,Good,Rejected
57,Male,Accountant,Full-time,Master,115870,9655.83,5254.39,554,28761,0,0.5442,10.7,Widowed,Owned,4,11658.0,6042,11717,Bad,None,Rejected
55,Male,Nurse,Full-time,Bachelor,66203,5516.92,1915.9,698,48678,3,0.5585,16.9,Single,Mortgaged,2,16671.0,11123,9653,None,Bad,Approved
64,Male,Software Engineer,Full-time,Bachelor,102366,8530.5,2735.95,326,35727,0,0.3207,15.9,Single,Rented,1,13864.0,8860,6642,Bad,Bad,Rejected
60,Female,Sales Executive,Full-time,High School,34409,2867.42,1001.48,658,14638,1,0.4536,32.5,Married,Mortgaged,2,3927.0,1621,3971,Good,Good,Approved
42,Female,Accountant,Full-time,High School,27045,2253.75,1208.9,704,6313,1,0.7136,6.4,Divorced,Owned,3,3155.0,1009,5607,Good,Good,Approved
47,Female,Nurse,Part-time,High School,28779,2398.25,839.2,824,12880,3,0.7291,20.3,Married,Mortgaged,3,2530.0,963,5895,Good,Good,Approved
55,Male,Nurse,Full-time,Bachelor,76489,6374.08,2674.33,583,15634,2,0.5173,14.8,Married,Owned,3,10075.0,4383,14959,None,Good,Approved
21,Female,Student,Full-time,Bachelor,12275,1022.92,817.37,324,2000,0,0.7991,0.2,Single,Owned,1,1410.0,785,1348,Good,Bad,Rejected
55,Male,Nurse,Self-employed,Bachelor,57489,4790.75,1475.62,703,25175,3,0.5364,8.7,Married,Owned,0,16563.0,12596,5316,None,None,Approved
57,Male,Manager,Full-time,Bachelor,89702,7475.17,3073.22,554,10297,0,0.4111,3.3,Married,Owned,0,,4166,5102,Bad,Bad,Rejected
67,Female,Retired,Unemployed,Bachelor,30778,2564.83,1294.78,516,9787,1,0.6569,0.0,Married,Rented,0,781.0,329,5364,None,None,Rejected
34,Female,Self-Employed,Full-time,Bachelor,69431,5785.92,1532.37,654,16513,0,0.2648,3.5,Married,Mortgaged,3,4493.0,3209,5032,None,None,Approved
23,Male,Sales Executive,Part-time,Bachelor,57494,4791.17,2475.92,699,40626,1,0.5599,0.6,Single,Mortgaged,2,3159.0,1329,5578,Good,None,Approved
21,Male,Accountant,Full-time,High School,26729,2227.42,1001.54,743,3089,1,0.5581,0.2,Single,Owned,1,1065.0,672,2952,None,Good,Approved
25,Male,Teacher,Full-time,High School,32863,2738.58,1191.34,752,15527,1,0.5181,0.8,Married,Owned,1,2285.0,1153,3696,Good,Good,Approved
46,Male,Self-Employed,Full-time,Bachelor,75813,6317.75,2765.72,580,48797,1,0.4736,3.5,Married,Rented,0,12949.0,5902,8685,Bad,Bad,Rejected
75,Female,Retired,Unemployed,Bachelor,31588,2632.33,892.05,534,4210,0,0.3389,0.0,Married,Mortgaged,1,1157.0,462,5373,None,Bad,Rejected
34,Male,Teacher,Full-time,Bachelor,69001,5750.08,2153.65,575,41075,0,0.3745,1.8,Single,Owned,2,1980.0,1473,4705,Bad,Bad,Rejected
59,Female,Accountant,Full-time,Bachelor,63333,5277.75,2584.97,790,38291,1,0.5626,15.8,Married,Rented,0,2097.0,1401,13642,Good,Good,Approved
47,Female,Self-Employed,Full-time,Bachelor,59961,4996.75,1708.46,732,32768,0,0.3419,9.9,Single,Owned,0,35786.0,18202,14168,Good,Good,Approved
29,Male,Self-Employed,Self-employed,High School,34200,2850.0,1114.37,391,6070,0,0.391,6.8,Married,Rented,1,3040.0,1589,598,None,None,Rejected
35,Male,Student,Part-time,High School,13407,1117.25,986.97,687,8708,1,1.0747,1.9,Single,Owned,0,1230.0,638,1093,Good,Bad,Rejected
35,Male,Software Engineer,Self-employed,Bachelor,109395,9116.25,3421.43,652,59062,3,0.4541,11.2,Single,Owned,4,27217.0,9622,19137,Good,Good,Approved
46,Male,Manager,Full-time,Bachelor,86465,7205.42,2936.98,779,44380,0,0.4076,23.9,Single,Owned,0,16687.0,12029,5929,Good,Good,Approved
62,Male,Accountant,Part-time,Bachelor,89728,7477.33,2126.6,665,60423,1,0.3175,21.3,Married,Owned,3,2587.0,1240,8442,Good,Good,Approved
33,Female,Accountant,Full-time,Master,91247,7603.92,4163.25,440,12375,0,0.5475,7.8,Married,Owned,0,5848.0,4569,9692,Bad,Bad,Rejected
71,Male,Retired,Unemployed,Bachelor,26542,2211.83,753.66,422,3486,0,0.3407,0.0,Married,Rented,0,7797.0,4291,634,Good,Bad,Rejected
52,Female,Teacher,Full-time,Bachelor,79387,6615.58,2914.14,733,29413,0,0.4405,10.8,Single,Owned,1,26553.0,11349,20381,Good,Good,Approved
59,Male,Manager,Full-time,Bachelor,62482,5206.83,2209.63,746,9446,1,0.4891,28.9,Married,Owned,2,2854.0,1381,9772,Good,Good,Approved
69,Female,Retired,Unemployed,Bachelor,30016,2501.33,1214.46,472,5045,2,0.7504,0.0,Married,Owned,1,5782.0,1956,2480,None,Bad,Rejected
72,Female,Retired,Unemployed,Bachelor,27694,2307.83,780.4,369,5322,0,0.3382,0.0,Married,Mortgaged,0,2551.0,1604,657,Bad,Bad,Rejected
52,Female,Accountant,Full-time,Bachelor,79119,6593.25,3143.52,643,35329,1,0.5322,8.0,Divorced,Rented,0,6282.0,2377,10861,None,Good,Approved
